花朵类型,基础产量,开花时间,获取方式
绿色梅花,9,,
紫色昙花,10,,
黄色昙花,10,,
白色昙花,10,,
紫色胭脂花,13,,
红色蔷薇,11,,
粉色蔷薇,11,,
黄色蔷薇,11,,
白色蔷薇,11,,
紫色雪莲,13,,
黄色雪莲,13,,
白色雪莲,13,,
紫色夜来香,13,,
白色夜来香,13,,
白色大岩桐,13,,
蓝色大岩桐,13,,
紫色夕雾花,13,,
紫色薰衣草,13,,
黑色玫瑰,14,,
蓝色玫瑰,14,,
红色美女樱,13,,
粉色美女樱,13,,
白色美女樱,13,,
红色鸢萝,13,,
白色鸢萝,13,,
黑色鸢萝,13,,
紫色白芨,13,,
紫色鬼百合,13,,
黑色鬼百合,13,,
七彩彩虹菊,14,,
黄色彩虹菊,14,,
粉色绣球花,11,,
蓝色绣球花,11,,
白色水晶兰,4,,
黄色水晶兰,4,,
红色大丽花,13,,
粉色大丽花,13,,
褐色珍珠吊兰,4,,
白色紫罗兰,13,,
红色小苍兰,13,,
白色水莲蕉,13,,
蓝色水莲蕉,13,,
紫色水莲蕉,13,,
粉色水莲蕉,13,,
红色琼花,13,,
紫色琼花,13,,
白色琼花,13,,
粉色琼花,13,,
粉色风信子,13,,
蓝色风信子,13,,
橘色风信子,13,,
黄色冰雪花,15,,
蓝色冰雪花,15,,
蓝色雨久花,13,,
紫色雨久花,13,,
黄色迷迭香,12,,
白色迷迭香,12,,
粉色迷迭香,12,,
白色百合,13,,
粉色百合,13,,
紫色百合,13,,
黄色樱花,13,,
红色彼岸花,4,,
黄色彼岸花,4,,
黑色郁金香,13,,
粉色苜蓿,13,,
紫色苜蓿,13,,
白色金鱼草,13,,
黑色荼靡,13,,
白色萍逢草,4,,
黑色罗布麻,13,,
白色心之水滴,13,,
粉色牵牛花,4,,
粉色天竺葵,15,,
红色天竺葵,15,,
紫色鸢尾,13,,
黄色鸢尾,13,,
黄色君子兰,13,,
红色君子兰,13,,
粉色君子兰,13,,
红色仙客来,14,,
白色仙客来,14,,
粉色仙客来,14,,
红色圣诞花,13,,
白色圣诞花,13,,
粉色圣诞花,13,,
黄色圣诞花,13,,
红色喇叭水仙,13,,
黄色喇叭水仙,13,,
白色喇叭水仙,13,,
红色马蹄莲,13,,
粉色含羞草,13,,
紫色含羞草,13,,
白色含羞草,13,,
紫色沙漠玫瑰,13,,
白色红掌,4,,
蓝色海寿花,13,,
蓝色水仙花,4,,
白色勿忘我,13,,
黄色勿忘我,13,,
蓝色勿忘我,13,,
绿色洋桔梗,13,,
红色木菊花,13,,
紫色木菊花,13,,
紫色睡莲,13,,
粉色雪滴花,13,,
白色雪滴花,13,,
粉色满天星,13,,
黄色康乃馨,4,,
白色美人蕉,14,,
黄色美人蕉,14,,
粉色雏菊,13,,
黄色雏菊,13,,
白色雏菊,13,,
紫色雏菊,13,,
白色铃兰,4,,
白色雪绒花,13,,
红色芙蓉花,13,,
白色芙蓉,13,,
粉色茶花,14,,
红色茶花,14,,
白色月亮花,13,,
粉色月亮花,13,,
黄色月亮花,13,,
白色芦苇,13,,
紫色紫藤,13,,
黄色向日葵,15,,
