兑换位置,套装,部件,所需花朵,所需数量
服装圣殿一层,幸福托帕石,头饰,绿色梅花,45
服装圣殿一层,幸福托帕石,头发,紫色昙花,65
服装圣殿一层,幸福托帕石,上衣,紫色胭脂花,50
服装圣殿一层,幸福托帕石,裙子,红色蔷薇,65
服装圣殿一层,幸福托帕石,手饰,紫色雪莲,90
服装圣殿一层,幸福托帕石,脚饰,紫色雪莲,90
服装圣殿一层,幸福托帕石,手杖,紫色夜来香,65
服装圣殿二层,悠闲时光,上衣,白色大岩桐,120
服装圣殿二层,悠闲时光,鞋子,白色大岩桐,90
服装圣殿二层,幻境游乐园,上衣,紫色夕雾花,300
服装圣殿二层,吉祥松绿石,头饰,紫色薰衣草,39
服装圣殿二层,吉祥松绿石,头发,黑色玫瑰,45
服装圣殿二层,吉祥松绿石,上衣,黑色玫瑰,135
服装圣殿二层,吉祥松绿石,裙子,紫色薰衣草,78
服装圣殿二层,吉祥松绿石,手饰,粉色蔷薇,45
服装圣殿二层,吉祥松绿石,手杖,紫色薰衣草,104
服装圣殿二层,吉祥松绿石,脚饰,粉色蔷薇,75
服装圣殿二层,吉祥松绿石,鞋子,黑色玫瑰,45
服装圣殿二层,甜心南瓜派,头发,红色美女樱,500
服装圣殿二层,甜心南瓜派,上衣,粉色美女樱,1200
服装圣殿二层,胭脂粉雪,头饰,紫色胭脂花,60
服装圣殿二层,胭脂粉雪,头发,紫色胭脂花,80
服装圣殿二层,胭脂粉雪,上衣,紫色胭脂花,95
服装圣殿二层,胭脂粉雪,手花,紫色胭脂花,60
服装圣殿二层,胭脂粉雪,裙子,紫色胭脂花,95
服装圣殿二层,胭脂粉雪,鞋子,紫色胭脂花,80
服装圣殿三层,甜蜜和果子,头发,白色美女樱,110
服装圣殿三层,甜蜜和果子,鞋子,白色美女樱,80
服装圣殿四层,骨骸摇滚,项链,红色鸢萝,30
服装圣殿四层,骨骸摇滚,鞋子,紫色白芨,50
服装圣殿四层,骨骸摇滚,脚饰,白色鸢萝,30
服装圣殿四层,暗紫罗兰,裙子,紫色鬼百合,225
服装圣殿五层,星云迷梦,头饰,七彩彩虹菊,150
服装圣殿五层,星云迷梦,头发,黑色玫瑰,180
服装圣殿五层,星云迷梦,项链,粉色绣球花,150
服装圣殿五层,星云迷梦,上衣,黑色玫瑰,225
服装圣殿五层,星云迷梦,下装,红色蔷薇,150
服装圣殿五层,星云迷梦,手饰,黄色蔷薇,120
服装圣殿五层,星云迷梦,手持,七彩彩虹菊,150
服装圣殿五层,星云迷梦,脚饰,黄色蔷薇,150
服装圣殿五层,星云迷梦,鞋子,红色蔷薇,120
服装圣殿五层,拉贝尔庄园,脚饰,白色水晶兰,140
服装圣殿五层,血鸽红宝石,帽子,红色蔷薇,15
服装圣殿五层,血鸽红宝石,耳环,白色蔷薇,15
服装圣殿五层,血鸽红宝石,项链,黄色蔷薇,15
服装圣殿五层,血鸽红宝石,上衣,紫色夕雾花,30
服装圣殿五层,血鸽红宝石,裙子,绿色梅花,30
服装圣殿五层,暖冬,帽子,紫色雪莲,75
服装圣殿五层,暖冬,头发,红色大丽花,180
服装圣殿五层,暖冬,上衣,黄色水晶兰,300
服装圣殿五层,暖冬,裤子,褐色珍珠吊兰,300
服装圣殿五层,碎花夏天,头饰,白色紫罗兰,112
服装圣殿五层,碎花夏天,头发,红色小苍兰,120
服装圣殿五层,碎花夏天,上衣,粉色大丽花,210
服装圣殿五层,碎花夏天,手饰,白色水莲蕉,100
服装圣殿五层,碎花夏天,花圈,白色紫罗兰,120
服装圣殿五层,碎花夏天,裙子,白色水莲蕉,200
服装圣殿五层,碎花夏天,鞋子,白色紫罗兰,112
服装圣殿五层,果酱草莓,头发,白色水莲蕉,255
服装圣殿五层,果酱草莓,上衣,红色琼花,240
服装圣殿五层,果酱草莓,裙子,粉色风信子,240
服装圣殿五层,果酱草莓,鞋子,黄色冰雪花,112
服装圣殿五层,优雅草叶,头发,蓝色雨久花,180
服装圣殿五层,优雅草叶,上衣,白色鸢萝,225
服装圣殿五层,优雅草叶,裙子,蓝色大岩桐,225
服装圣殿五层,优雅草叶,鞋子,黄色迷迭香,180
服装圣殿六层,小狐狸,头饰,橘色风信子,190
服装圣殿六层,小狐狸,头发,白色百合,190
服装圣殿六层,小狐狸,面饰,黄色樱花,170
服装圣殿六层,小狐狸,上衣,蓝色绣球花,210
服装圣殿六层,小狐狸,下装,白色百合,190
服装圣殿六层,小狐狸,脚饰,橘色风信子,170
服装圣殿六层,小狐狸,鞋子,黄色樱花,180
服装圣殿六层,小狐狸,手持,蓝色绣球花,200
服装圣殿六层,暗夜蔷薇珍稀,耳环,白色水晶兰,100
服装圣殿六层,暗夜蔷薇珍稀,项链,蓝色水莲蕉,125
服装圣殿六层,暗夜蔷薇珍稀,腰带,红色彼岸花,100
服装圣殿六层,暗夜蔷薇珍稀,上衣,红色彼岸花,200
服装圣殿六层,暗夜蔷薇珍稀,裙子,橘色风信子,125
服装圣殿六层,暗夜蔷薇珍稀,脚饰,白色水晶兰,100
服装圣殿六层,暗夜蔷薇珍稀,鞋子,橘色风信子,100
服装圣殿六层,暗夜蔷薇珍稀,翅膀,绿色梅花,350
服装圣殿六层,克拉恋人,上衣,黑色郁金香,32
服装圣殿六层,克拉恋人,裙子,紫色夜来香,32
服装圣殿六层,克拉恋人,脚饰,紫色夕雾花,16
服装圣殿六层,波斯菊,头发,黄色彩虹菊,225
服装圣殿六层,波斯菊,头饰,黄色雏菊,100
服装圣殿六层,波斯菊,上衣,黄色彼岸花,275
服装圣殿六层,波斯菊,手饰,粉色苜蓿,100
服装圣殿六层,波斯菊,裙子,粉色苜蓿,200
服装圣殿六层,波斯菊,鞋子,黄色雏菊,140
服装圣殿六层,冰蓝之心,头发,黄色冰雪花,190
服装圣殿六层,冰蓝之心,头饰,黄色冰雪花,185
服装圣殿六层,冰蓝之心,上衣,白色金鱼草,225
服装圣殿六层,假面黑影,头饰,黑色鸢萝,90
服装圣殿六层,假面黑影,项链,黑色荼靡,100
服装圣殿六层,假面黑影,上衣,黑色鸢萝,150
服装圣殿六层,假面黑影,手套,白色萍逢草,150
服装圣殿六层,假面黑影,道具,黑色荼靡,155
服装圣殿六层,假面黑影,鞋子,黑色鬼百合,100
服装圣殿七层,温婉唐风,头发,黑色郁金香,300
服装圣殿七层,温婉唐风,上衣,紫色夜来香,350
服装圣殿七层,温婉唐风,裙子,黑色罗布麻,300
服装圣殿七层,温婉唐风,手饰,白色水晶兰,150
服装圣殿七层,温婉唐风,鞋子,紫色夜来香,200
服装圣殿七层,繁花祈语,手持,紫色水莲蕉,200
服装圣殿七层,繁花祈语,头发,白色心之水滴,300
服装圣殿七层,繁花祈语,项链,白色水晶兰,100
服装圣殿七层,繁花祈语,上衣,紫色水莲蕉,450
服装圣殿七层,繁花祈语,腰带,白色心之水滴,200
服装圣殿七层,繁花祈语,下装,白色心之水滴,300
服装圣殿七层,繁花祈语,脚饰,紫色水莲蕉,150
服装圣殿七层,春日微澜,头饰,黑色罗布麻,200
服装圣殿七层,春日微澜,头发,黑色郁金香,300
服装圣殿七层,春日微澜,项链,白色心之水滴,100
服装圣殿七层,春日微澜,上衣,紫色夜来香,100
服装圣殿七层,春日微澜,下装,黑色罗布麻,450
服装圣殿七层,春日微澜,脚饰,紫色水莲蕉,300
服装圣殿七层,春日微澜,鞋子,粉色牵牛花,150
服装圣殿七层,春日微澜,手饰,白色心之水滴,300
服装圣殿七层,春日微澜,手持,紫色夜来香,150
服装圣殿七层,旅行樱桃,餐叉,紫色水莲蕉,300
服装圣殿七层,旅行樱桃,头发,粉色牵牛花,350
服装圣殿七层,旅行樱桃,头饰,白色心之水滴,200
服装圣殿七层,旅行樱桃,耳饰,白色水晶兰,100
服装圣殿七层,旅行樱桃,上衣,紫色水莲蕉,450
服装圣殿七层,旅行樱桃,下装,粉色牵牛花,300
服装圣殿七层,旅行樱桃,脚饰,白色心之水滴,100
服装圣殿七层,旅行樱桃,鞋子,白色水晶兰,200
服装圣殿七层,娱乐至上,头饰,白色心之水滴,100
服装圣殿七层,娱乐至上,耳饰,黑色郁金香,100
服装圣殿七层,娱乐至上,头发,紫色夜来香,300
服装圣殿七层,娱乐至上,颈饰,黑色罗布麻,100
服装圣殿七层,娱乐至上,上衣,白色水晶兰,350
服装圣殿七层,娱乐至上,下装,白色心之水滴,300
服装圣殿七层,娱乐至上,脚饰,黑色郁金香,100
服装圣殿七层,娱乐至上,鞋子,紫色夜来香,150
服装圣殿七层,娱乐至上,手持,黑色罗布麻,250
服装圣殿七层,深海凌波,头饰,紫色夜来香,200
服装圣殿七层,深海凌波,头发,黑色郁金香,300
服装圣殿七层,深海凌波,面饰,白色心之水滴,100
服装圣殿七层,深海凌波,项链,白色水晶兰,100
服装圣殿七层,深海凌波,上衣,黑色罗布麻,450
服装圣殿七层,深海凌波,下装,黑色郁金香,300
服装圣殿七层,深海凌波,手饰,紫色夜来香,150
服装圣殿七层,深海凌波,手持,黑色罗布麻,300
服装圣殿七层,深海凌波,脚饰,白色心之水滴,150
服装圣殿七层,深海凌波,鞋子,白色水晶兰,150
服装圣殿七层,雪国之恋,头发,紫色水莲蕉,300
服装圣殿七层,雪国之恋,头饰,粉色牵牛花,200
服装圣殿七层,雪国之恋,耳环,白色心之水滴,150
服装圣殿七层,雪国之恋,上衣,白色水晶兰,450
服装圣殿七层,雪国之恋,下装,紫色水莲蕉,300
服装圣殿七层,雪国之恋,鞋子,粉色牵牛花,200
服装圣殿七层,雪国之恋,脚饰,白色心之水滴,200
服装圣殿七层,果香馥郁,果篮,紫色夜来香,100
服装圣殿七层,果香馥郁,草帽,黑色郁金香,100
服装圣殿七层,果香馥郁,头发,白色心之水滴,200
服装圣殿七层,果香馥郁,上衣,白色水晶兰,200
服装圣殿七层,果香馥郁,手饰,黑色罗布麻,100
服装圣殿七层,果香馥郁,下装,黑色郁金香,150
服装圣殿七层,果香馥郁,脚饰,白色心之水滴,200
服装圣殿七层,果香馥郁,鞋子,白色水晶兰,150
服装圣殿七层,心灵之花,头饰,紫色夜来香,200
服装圣殿七层,心灵之花,头发,黑色郁金香,200
服装圣殿七层,心灵之花,上衣,白色心之水滴,300
服装圣殿七层,心灵之花,下装,白色水晶兰,300
服装圣殿七层,心灵之花,鞋子,黑色罗布麻,200
服装圣殿七层,心灵之花,脚饰,黑色郁金香,200
服装圣殿七层,沉默唱诗班,头饰,紫色水莲蕉,200
服装圣殿七层,沉默唱诗班,头发,粉色牵牛花,300
服装圣殿七层,沉默唱诗班,上衣,白色心之水滴,300
服装圣殿七层,沉默唱诗班,手饰,白色水晶兰,200
服装圣殿七层,沉默唱诗班,裙子,紫色水莲蕉,300
服装圣殿七层,沉默唱诗班,鞋子,粉色牵牛花,200
服装圣殿七层,沉默唱诗班,袜子,白色心之水滴,200
服装圣殿七层,雪滴小厨神,头发,紫色水莲蕉,300
服装圣殿七层,雪滴小厨神,头饰,粉色牵牛花,200
服装圣殿七层,雪滴小厨神,上衣,白色心之水滴,300
